Product ID,Product Name,English Description,Dutch Description,French Description
488,Clever Chrome Silver,"Elegant, luxurious and made to stand out. The Clever Chrome Silver controller with a mirror chrome finish instantly gives your setup a premium look.","Elegant, luxe en gemaakt om op te vallen. De Clever Chrome Silver-controller met een spiegel chrome afwerking geeft je setup direct een premium look.","<h2><strong>âœ¨ Fais briller ton setup</strong></h2>\n<p>Ã‰lÃ©gant, luxueux et fait pour se dÃ©marquer. La <strong>manette Clever Chrome Silver</strong> avec une finition <strong>chrome silver</strong> miroir donne instantanÃ©ment un look premium Ã  ton setup.</p>\n\n<h3><strong>ðŸŒ™ Ã‰dition Standard â€“ Style pur, contrÃ´le total</strong></h3>\n<p>Voici la <strong>version Chrome Silver standard</strong> : design iconique, la bonne vibe et une finition nette. Un vrai statement en journÃ©e, encore plus stylÃ©e le soir grÃ¢ce au rendu high-gloss.</p>\n\n<h3><strong>ðŸ’Ž CaractÃ©ristiques</strong></h3>\n<ul>\n <li><strong>Design Chrome Silver :</strong> un look unique qui donne du caractÃ¨re Ã  ton setup.</li>\n <li><strong>Finition high-gloss :</strong> brillante, nette et accrocheuse dans chaque setup.</li>\n <li><strong>Ce que tu vois est ce que tu reÃ§ois :</strong> tu reÃ§ois la manette exactement comme sur la photo.</li>\n</ul>\n\n<h3><strong>âœ… CompatibilitÃ©</strong></h3>\n<ul>\n <li>Compatible PS5 / PlayStation 5</li>\n <li>Non compatible PS4</li>\n</ul>\n\n<p><strong>Fais briller ton setup.</strong><br>ðŸŽ®âœ¨ðŸªž <strong>Chrome Silver</strong> â€“ rends ton setup unique et joue avec audace.</p>",
486,Another Product,"Another English Description","Another Dutch Description","<corrected French description>"
485,Product 485,"English","Dutch","<corrected French description>"
484,Product 484,"English","Dutch","<corrected French description>"
483,Product 483,"English","Dutch","<corrected French description>"
482,Product 482,"English","Dutch","<corrected French description>"
481,Product 481,"English","Dutch","<corrected French description>"
480,Product 480,"English","Dutch","<corrected French description>"
479,Product 479,"English","Dutch","<corrected French description>"
478,Product 478,"English","Dutch","<corrected French description>",